OTU,Domain,Phylum,Class,Order,Family,Genus,Species
AJ430219.1,k__Eukaryota,p__Ascomycota,c__sordariomyceta,o__Helotiales,f__Lachnaceae,g__Lachnum,s__Lachnum_pygmaeum
KY857573.1,k__Eukaryota,p__Ascomycota,c__dothideomyceta,o__Mycosphaerellales,f__Mycosphaerellaceae,g__Dothistroma,s__Dothistroma_pini
MK514595.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Hymenochaetales,f__Hymenochaetaceae,g__Hydnoporia,s__Hydnoporia_rimosa
MN207056.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Corticiales,f__Corticiaceae,g__Subulicystidium,s__Subulicystidium_perlongisporum
MH107900.1,k__Eukaryota,p__Ascomycota,c__sordariomyceta,o__Xylariales,f__Sporocadaceae,g__Monochaetia,s__Monochaetia_junipericola
MW448573.1,k__Eukaryota,p__Ascomycota,c__leotiomyceta,o__Candelariales,f__Candelariaceae,g__Candelaria,s__Candelaria_concolor
KX228265.1,k__Eukaryota,p__Ascomycota,c__dothideomyceta,o__Pleosporales,f__Parapyrenochaetaceae,g__Parapyrenochaeta,s__Parapyrenochaeta_acaciae
MW270998.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Auriculariales,f__Exidiaceae,g__Basidiodendron,s__Basidiodendron_robenae
JN942961.1,k__Eukaryota,p__Ascomycota,c__dothideomyceta,o__Pleosporales,f__Lophiostomataceae,g__Lophiostoma,s__Lophiostoma_macrostomum
KF251149.1,k__Eukaryota,p__Ascomycota,c__dothideomyceta,o__Pleosporales,f__Phaeosphaeriaceae,g__Setophaeosphaeria,s__Setophaeosphaeria_sidae
MH304488.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Atractiellales,f__Helicogloeaceae,g__Helicogloea,s__Helicogloea_exigua
MK539964.1,k__Eukaryota,p__Ascomycota,c__dothideomyceta,o__Pleosporales,f__Melanommataceae,g__Seifertia,s__Seifertia_azaleae
KF251526.1,k__Eukaryota,p__Ascomycota,c__dothideomyceta,o__Mycosphaerellales,f__Mycosphaerellaceae,g__Septoria,s__Septoria_pseudonapelli
KF951287.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Polyporales,f__Laetiporaceae,g__Laetiporus,s__Laetiporus_ailaoshanensis
KM248952.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Boletales,f__Boletinellaceae,g__Boletinellus,s__Boletinellus_merulioides
DQ825985.1,k__Eukaryota,p__Ascomycota,c__sordariomyceta,o__Glomerellales,f__Plectosphaerellaceae,g__Gibellulopsis,s__Gibellulopsis_serrae
MW377253.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Polyporales,f__Adustoporiaceae,g__Amyloporia,s__Amyloporia_nivea
HG779026.1,k__Eukaryota,p__Ascomycota,c__dothideomyceta,o__Pleosporales,f__Pleosporaceae,g__Curvularia,s__Curvularia_verruciformis
KY559334.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Agaricales,f__Strophariaceae,g__Deconica,s__Deconica_citrispora
HQ331450.1,k__Eukaryota,p__Ascomycota,c__sordariomyceta,o__Hypocreales,f__Clavicipitaceae,g__Metarhizium,s__Metarhizium_pinghaense
KJ707077.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Filobasidiales,f__Filobasidiaceae,g__Filobasidium,s__Filobasidium_uniguttulatum
KC669315.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Agaricales,f__Strophariaceae,g__Deconica,s__Deconica_cokeriana
KP994376.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Polyporales,f__Phanerochaetaceae,g__Phanerochaete,s__Phanerochaete_livescens
MT622220.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Agaricales,f__Strophariaceae,g__Deconica,s__Deconica_horizontalis
MH860628.1,k__Eukaryota,p__Ascomycota,c__saccharomyceta,o__Orbiliales,f__Orbiliaceae,g__Orbilia,s__Orbilia_coccinella
KY419182.1,k__Eukaryota,p__Ascomycota,c__saccharomyceta,o__Orbiliales,f__Orbiliaceae,g__Orbilia,s__Orbilia_leucostigma
MN992240.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Russulales,f__Peniophoraceae,g__Peniophora,s__Peniophora_aurantiaca
KX236486.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Polyporales,f__Irpicaceae,g__Ceriporia,s__Ceriporia_griseoviolascens
MF076922.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Tremellales,f__Phaeotremellaceae,g__Phaeotremella,s__Phaeotremella_fimbriata
KJ941072.1,k__Eukaryota,p__Ascomycota,c__sordariomyceta,o__Helotiales,f__Sclerotiniaceae,g__Myriosclerotinia,s__Myriosclerotinia_curreyana
MZ573028.1,k__Eukaryota,p__Ascomycota,c__sordariomyceta,o__Glomerellales,f__Plectosphaerellaceae,g__Plectosphaerella,s__Plectosphaerella_oligotrophica
KY111909.1,k__Eukaryota,p__Ascomycota,c__dothideomyceta,o__Cladosporiales,f__Cladosporiaceae,g__Verrucocladosporium,s__Verrucocladosporium_dirinae
KR476719.1,k__Eukaryota,p__Ascomycota,c__dothideomyceta,o__Pleosporales,f__Pleosporaceae,g__Neoplatysporoides,s__Neoplatysporoides_aloicola
MT386401.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Polyporales,f__Phanerochaetaceae,g__Phlebiopsis,s__Phlebiopsis_membranacea
AY352584.1,k__Eukaryota,p__Ascomycota,c__dothideomyceta,o__Mycosphaerellales,f__Mycosphaerellaceae,g__Ramularia,s__Ramularia_sphaeroidea
MT040889.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Auriculariales,f__Exidiaceae,g__Basidiodendron,s__Basidiodendron_parile
JQ675310.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Polyporales,f__Podoscyphaceae,g__Podoscypha,s__Podoscypha_aculeata
MT185538.1,k__Eukaryota,p__Ascomycota,c__dothideomyceta,o__Pleosporales,f__Neopyrenochaetaceae,g__Neopyrenochaeta,s__Neopyrenochaeta_annellidica
MH399538.1,k__Eukaryota,p__Ascomycota,c__dothideomyceta,o__Pleosporales,f__Phaeosphaeriaceae,g__Parastagonospora,s__Parastagonospora_caricis
KF280330.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Agaricales,f__Pleurotaceae,g__Pleurotus,s__Pleurotus_fuscosquamulosus
MH861342.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Agaricales,f__Strophariaceae,g__Melanotus,s__Melanotus_hartii
MZ145339.1,k__Eukaryota,p__Ascomycota,c__dothideomyceta,o__Pleosporales,f__Pleosporaceae,g__Curvularia,s__Curvularia_mebaldsii
KY352466.1,k__Eukaryota,p__Ascomycota,c__saccharomyceta,o__Orbiliales,f__Orbiliaceae,g__Retiarius,s__Retiarius_bovicornutus
MH855783.1,k__Eukaryota,p__Ascomycota,c__dothideomyceta,o__Mycosphaerellales,f__Mycosphaerellaceae,g__Ramularia,s__Ramularia_deusta
KX287530.1,k__Eukaryota,p__Ascomycota,c__dothideomyceta,o__Mycosphaerellales,f__Mycosphaerellaceae,g__Ramularia,s__Ramularia_uredinicola
MH862625.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Corticiales,f__Corticiaceae,g__Duportella,s__Duportella_rhoica
JQ757912.1,k__Eukaryota,p__Ascomycota,c__dothideomyceta,o__Pleosporales,f__Phaeosphaeriaceae,g__Parastagonospora,s__Parastagonospora_golestanensis
JQ647430.1,k__Eukaryota,p__Ascomycota,c__sordariomyceta,o__Glomerellales,f__Plectosphaerellaceae,g__Brunneochlamydosporium,s__Brunneochlamydosporium_nepalense
KX287323.1,k__Eukaryota,p__Ascomycota,c__dothideomyceta,o__Mycosphaerellales,f__Mycosphaerellaceae,g__Ramularia,s__Ramularia_agrimoniae
KT186372.1,k__Eukaryota,p__Ascomycota,c__saccharomyceta,o__Orbiliales,f__unidentified,g__Mycoceros,s__Mycoceros_antennatissimus
AB158636.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Agaricales,f__Strophariaceae,g__Psilocybe,s__Psilocybe_merdaria
EF175940.1,k__Eukaryota,p__Ascomycota,c__dothideomyceta,o__Pleosporales,f__Pleosporaceae,g__Curvularia,s__Curvularia_sesuvii
MK387925.1,k__Eukaryota,p__Ascomycota,c__dothideomyceta,o__Pleosporales,f__Leptosphaeriaceae,g__Sphaerellopsis,s__Sphaerellopsis_isthmospora
EU940229.1,k__Eukaryota,p__Ascomycota,c__sordariomyceta,o__Helotiales,f__Hyaloscyphaceae,g__Eupezizella,s__Eupezizella_aureliella
JF439176.1,k__Eukaryota,p__Mucoromycota,c__Opisthokonta,o__Glomerales,f__Glomeraceae,g__Septoglomus,s__Septoglomus_constrictum
HQ630308.1,k__Eukaryota,p__Mucoromycota,c__Opisthokonta,o__Mortierellales,f__Mortierellaceae,g__Mortierella,s__Mortierella_rishikesha
MT535843.1,k__Eukaryota,p__Ascomycota,c__sordariomyceta,o__Helotiales,f__unidentified,g__Tetracladium,s__Tetracladium_breve
KY090635.1,k__Eukaryota,p__Ascomycota,c__dothideomyceta,o__Pleosporales,f__Phaeosphaeriaceae,g__Phaeosphaeriopsis,s__Phaeosphaeriopsis_agavensis
MK330017.1,k__Eukaryota,p__Ascomycota,c__sordariomyceta,o__Helotiales,f__Dermateaceae,g__Dermea,s__Dermea_pruni
MN148706.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Cystobasidiales,f__Cystobasidiaceae,g__Cystobasidium,s__Cystobasidium_slooffiae
KY089085.1,k__Eukaryota,p__Ascomycota,c__dothideomyceta,o__Dothideales,f__Saccotheciaceae,g__Aureobasidium,s__Aureobasidium_mangrovei
MF795761.1,k__Eukaryota,p__Ascomycota,c__dothideomyceta,o__Pleosporales,f__Cucurbitariaceae,g__Cucurbitaria,s__Cucurbitaria_oromediterranea
KR909390.1,k__Eukaryota,p__Ascomycota,c__sordariomyceta,o__Hypocreales,f__Nectriaceae,g__Fusarium,s__Fusarium_nisikadoi
MH697849.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Agaricales,f__unidentified,g__Hemistropharia,s__Hemistropharia_subalbocrenulata
MT131251.1,k__Eukaryota,p__Ascomycota,c__sordariomyceta,o__Erysiphales,f__Erysiphaceae,g__Podosphaera,s__Podosphaera_xanthii
MK347740.1,k__Eukaryota,p__Ascomycota,c__dothideomyceta,o__Pleosporales,f__Didymosphaeriaceae,g__Spegazzinia,s__Spegazzinia_radermacherae
MT310627.1,k__Eukaryota,p__Ascomycota,c__dothideomyceta,o__Pleosporales,f__Phaeosphaeriaceae,g__Wojnowiciella,s__Wojnowiciella_clematidis
MG865471.1,k__Eukaryota,p__Oomycota,c__Stramenopiles,o__Peronosporales,f__Peronosporaceae,g__Phytophthora,s__Phytophthora_chlamydospora
KY104504.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Kriegeriales,f__Kriegeriaceae,g__Phenoliferia,s__Phenoliferia_psychrophila
AY562160.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Tremellales,f__Bulleribasidiaceae,g__Dioszegia,s__Dioszegia_takashimae
MZ159550.1,k__Eukaryota,p__Ascomycota,c__sordariomyceta,o__Helotiales,f__Pezizellaceae,g__Phialina,s__Phialina_ulmariae
KX965732.1,k__Eukaryota,p__Ascomycota,c__dothideomyceta,o__Pleosporales,f__Periconiaceae,g__Periconia,s__Periconia_cortaderiae
LC084728.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Polyporales,f__Polyporaceae,g__Ganoderma,s__Ganoderma_australe
HQ728116.1,k__Eukaryota,p__Ascomycota,c__dothideomyceta,o__Mycosphaerellales,f__Mycosphaerellaceae,g__Cercosporidium,s__Cercosporidium_californicum
KJ922376.1,k__Eukaryota,p__Ascomycota,c__dothideomyceta,o__Pleosporales,f__Pleosporaceae,g__Curvularia,s__Curvularia_protuberata
AF309601.1,k__Eukaryota,p__Ascomycota,c__dothideomyceta,o__Mycosphaerellales,f__Mycosphaerellaceae,g__Amycosphaerella,s__Amycosphaerella_keniensis
MG865473.1,k__Eukaryota,p__Oomycota,c__Stramenopiles,o__Peronosporales,f__Peronosporaceae,g__Phytophthora,s__Phytophthora_cinnamomi
MF951375.1,k__Eukaryota,p__Ascomycota,c__dothideomyceta,o__Mycosphaerellales,f__Mycosphaerellaceae,g__Ragnhildiana,s__Ragnhildiana_diffusa
MG865492.1,k__Eukaryota,p__Oomycota,c__Stramenopiles,o__Peronosporales,f__Peronosporaceae,g__Phytophthora,s__Phytophthora_foliorum
AB769454.1,k__Eukaryota,p__Ascomycota,c__sordariomyceta,o__Erysiphales,f__Erysiphaceae,g__Golovinomyces,s__Golovinomyces_cynoglossi
AB025686.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Entylomatales,f__unidentified,g__Tilletiopsis,s__Tilletiopsis_washingtonensis
MT588812.1,k__Eukaryota,p__Oomycota,c__Stramenopiles,o__Peronosporales,f__Peronosporaceae,g__Peronospora,s__Peronospora_belbahrii
KX982704.1,k__Eukaryota,p__Ascomycota,c__sordariomyceta,o__Helotiales,f__Sclerotiniaceae,g__Monilinia,s__Monilinia_polystroma
EU049216.1,k__Eukaryota,p__Oomycota,c__Stramenopiles,o__Peronosporales,f__Peronosporaceae,g__Hyaloperonospora,s__Hyaloperonospora_brassicae
AF178401.1,k__Eukaryota,p__Ascomycota,c__sordariomyceta,o__Hypocreales,f__Nectriaceae,g__Fusarium,s__Fusarium_yamamotoi
MG865472.1,k__Eukaryota,p__Oomycota,c__Stramenopiles,o__Peronosporales,f__Peronosporaceae,g__Phytophthora,s__Phytophthora_chrysanthemi
MG865499.1,k__Eukaryota,p__Oomycota,c__Stramenopiles,o__Peronosporales,f__Peronosporaceae,g__Phytophthora,s__Phytophthora_gibbosa
KJ706911.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Filobasidiales,f__Filobasidiaceae,g__Naganishia,s__Naganishia_adeliensis
MG865489.1,k__Eukaryota,p__Oomycota,c__Stramenopiles,o__Peronosporales,f__Peronosporaceae,g__Phytophthora,s__Phytophthora_fallax
MG865548.1,k__Eukaryota,p__Oomycota,c__Stramenopiles,o__Peronosporales,f__Peronosporaceae,g__Phytophthora,s__Phytophthora_nemorosa
KX984153.1,k__Eukaryota,p__Ascomycota,c__sordariomyceta,o__Xylariales,f__Sporocadaceae,g__Monochaetia,s__Monochaetia_ilexae
GQ852778.1,k__Eukaryota,p__Ascomycota,c__dothideomyceta,o__Mycosphaerellales,f__Mycosphaerellaceae,g__Readeriella,s__Readeriella_callista
GQ203792.1,k__Eukaryota,p__Ascomycota,c__dothideomyceta,o__Pleosporales,f__Sporormiaceae,g__Preussia,s__Preussia_tetramera
MZ145170.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Agaricales,f__Entolomataceae,g__Entoloma,s__Entoloma_brunneicoeruleum
EU039982.1,k__Eukaryota,p__Ascomycota,c__sordariomyceta,o__Diaporthales,f__Stilbosporaceae,g__Stegonsporium,s__Stegonsporium_acerophilum
ON075424.1,k__Eukaryota,p__Ascomycota,c__sordariomyceta,o__Xylariales,f__Hypoxylaceae,g__Hypoxylon,s__Hypoxylon_zangii
MN906146.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Agaricales,f__Crepidotaceae,g__Crepidotus,s__Crepidotus_fraxinicola
MW448660.1,k__Eukaryota,p__Ascomycota,c__dothideomyceta,o__Pleosporales,f__Periconiaceae,g__Periconia,s__Periconia_chimonanthi
LT906660.1,k__Eukaryota,p__Ascomycota,c__dothideomyceta,o__Pleosporales,f__Dictyosporiaceae,g__Neodendryphiella,s__Neodendryphiella_michoacanensis
MH498520.2,k__Eukaryota,p__Ascomycota,c__sordariomyceta,o__Xylariales,f__Apiosporaceae,g__Arthrinium,s__Arthrinium_agari
MT441614.1,k__Eukaryota,p__Ascomycota,c__dothideomyceta,o__Pleosporales,f__Sporormiaceae,g__Preussia,s__Preussia_australis
MK050389.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Cystobasidiales,f__Cystobasidiaceae,g__Cystobasidium,s__Cystobasidium_raffinophilum
MH320741.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Agaricales,f__Crepidotaceae,g__Crepidotus,s__Crepidotus_striatus
LM644067.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Cystobasidiales,f__Cystobasidiaceae,g__Cystobasidium,s__Cystobasidium_fimetarium
MH865619.1,k__Eukaryota,p__Ascomycota,c__dothideomyceta,o__Venturiales,f__Cylindrosympodiaceae,g__Tothia,s__Tothia_fuscella
AF145317.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Filobasidiales,f__Filobasidiaceae,g__Naganishia,s__Naganishia_bhutanensis
MK966649.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Agaricales,f__Galeropsidaceae,g__Panaeolus,s__Panaeolus_rickenii
KY104686.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Tremellales,f__Bulleraceae,g__Pseudotremella,s__Pseudotremella_moriformis
MG865585.1,k__Eukaryota,p__Oomycota,c__Stramenopiles,o__Peronosporales,f__Peronosporaceae,g__Phytophthora,s__Phytophthora_sansomeana
EU280121.1,k__Eukaryota,p__Ascomycota,c__sordariomyceta,o__Hypocreales,f__Hypocreaceae,g__Trichoderma,s__Trichoderma_pubescens
AF074922.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Boletales,f__Boletaceae,g__Chalciporus,s__Chalciporus_piperatus
MK347735.1,k__Eukaryota,p__Ascomycota,c__dothideomyceta,o__Pleosporales,f__Dictyosporiaceae,g__Pseudocoleophoma,s__Pseudocoleophoma_bauhiniae
HQ442297.1,k__Eukaryota,p__Ascomycota,c__dothideomyceta,o__Mycosphaerellales,f__Mycosphaerellaceae,g__Ramularia,s__Ramularia_didyma
AF505788.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Agaricales,f__Omphalotaceae,g__Gymnopus,s__Gymnopus_macropus
MG865593.1,k__Eukaryota,p__Oomycota,c__Stramenopiles,o__Peronosporales,f__Peronosporaceae,g__Phytophthora,s__Phytophthora_thermophila
MW520194.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Boletales,f__Boletaceae,g__Suillellus,s__Suillellus_subamygdalinus
EF534352.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Russulales,f__Russulaceae,g__Russula,s__Russula_nigricans
OL142186.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Polyporales,f__Steccherinaceae,g__Loweomyces,s__Loweomyces_fractipes
GU049428.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Pucciniales,f__Coleosporiaceae,g__Chrysomyxa,s__Chrysomyxa_nagodhii
KM265189.1,k__Eukaryota,p__Ascomycota,c__sordariomyceta,o__Helotiales,f__Sclerotiniaceae,g__Sclerotinia,s__Sclerotinia_nivalis
KC584201.1,k__Eukaryota,p__Ascomycota,c__dothideomyceta,o__Pleosporales,f__Pleosporaceae,g__Alternaria,s__Alternaria_japonica
MH730805.1,k__Eukaryota,p__Oomycota,c__Stramenopiles,o__Peronosporales,f__Peronosporaceae,g__Peronospora,s__Peronospora_ranunculi
U34556.1,k__Eukaryota,p__Ascomycota,c__sordariomyceta,o__Hypocreales,f__Nectriaceae,g__Fusarium,s__Fusarium_sacchari
JQ408762.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Agaricales,f__Inocybaceae,g__Inosperma,s__Inosperma_lanatodiscum
MK163944.1,k__Eukaryota,p__Oomycota,c__Stramenopiles,o__Peronosporales,f__Peronosporaceae,g__Phytophthora,s__Phytophthora_abietivora
GU237714.1,k__Eukaryota,p__Ascomycota,c__dothideomyceta,o__Pleosporales,f__Didymellaceae,g__Stagonosporopsis,s__Stagonosporopsis_andigena
KT185675.1,k__Eukaryota,p__Ascomycota,c__sordariomyceta,o__Helotiales,f__Pezizellaceae,g__Calycina,s__Calycina_marina
KT265252.1,k__Eukaryota,p__Ascomycota,c__dothideomyceta,o__Pleosporales,f__Pleosporaceae,g__Exserohilum,s__Exserohilum_curvatum
MK353160.1,k__Eukaryota,p__Ascomycota,c__sordariomyceta,o__Xylariales,f__Sporocadaceae,g__Seiridium,s__Seiridium_chinense
MH880220.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Hymenochaetales,f__Schizoporaceae,g__Xylodon,s__Xylodon_pseudolanatus
DQ178163.1,k__Eukaryota,p__Ascomycota,c__sordariomyceta,o__Hypocreales,f__Nectriaceae,g__Ilyonectria,s__Ilyonectria_liriodendri
KM593879.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Polyporales,f__Polyporaceae,g__Favolus,s__Favolus_tenuiculus
AY616687.1,k__Eukaryota,p__Ascomycota,c__sordariomyceta,o__Xylariales,f__Hypoxylaceae,g__Annulohypoxylon,s__Annulohypoxylon_cohaerens
MH856898.1,k__Eukaryota,p__Ascomycota,c__sordariomyceta,o__Helotiales,f__Dermateaceae,g__Pezicula,s__Pezicula_cinnamomea
KP867914.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Agaricales,f__Pleurotaceae,g__Pleurotus,s__Pleurotus_ostreatus
AY344978.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Ustilaginales,f__Ustilaginaceae,g__Sporisorium,s__Sporisorium_fastigiatum
LT158447.1,k__Eukaryota,p__Ascomycota,c__sordariomyceta,o__Helotiales,f__Rutstroemiaceae,g__Rutstroemia,s__Rutstroemia_sydowiana
MZ145081.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Agaricales,f__Crepidotaceae,g__Crepidotus,s__Crepidotus_cesatii
AY198298.3,k__Eukaryota,p__Oomycota,c__Stramenopiles,o__Peronosporales,f__Peronosporaceae,g__Peronospora,s__Peronospora_calotheca
AF042414.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Tremellales,f__Bulleraceae,g__Pseudotremella,s__Pseudotremella_nivalis
AY198300.3,k__Eukaryota,p__Oomycota,c__Stramenopiles,o__Peronosporales,f__Peronosporaceae,g__Peronospora,s__Peronospora_aparines
AJ408382.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Gomphales,f__Gomphaceae,g__Ramaria,s__Ramaria_quercus-ilicis
MN482689.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Agaricales,f__Galeropsidaceae,g__Panaeolus,s__Panaeolus_axfordii
EF507257.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Thelephorales,f__Thelephoraceae,g__Tomentella,s__Tomentella_agbassaensis
HQ643570.1,k__Eukaryota,p__Oomycota,c__Stramenopiles,o__Pythiales,f__Pythiaceae,g__Pythium,s__Pythium_insidiosum
KU743197.1,k__Eukaryota,p__Ascomycota,c__dothideomyceta,o__Pleosporales,f__Didymosphaeriaceae,g__Laburnicola,s__Laburnicola_muriformis
MG865568.1,k__Eukaryota,p__Oomycota,c__Stramenopiles,o__Peronosporales,f__Peronosporaceae,g__Phytophthora,s__Phytophthora_plurivora
KU219974.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Polyporales,f__Polyporaceae,g__Foraminispora,s__Foraminispora_concentrica
MW599273.1,k__Eukaryota,p__Oomycota,c__Stramenopiles,o__Peronosporales,f__Peronosporaceae,g__Peronospora,s__Peronospora_eranthidis
MG865576.1,k__Eukaryota,p__Oomycota,c__Stramenopiles,o__Peronosporales,f__Peronosporaceae,g__Phytophthora,s__Phytophthora_psychrophila
AB453879.1,k__Eukaryota,p__Ascomycota,c__dothideomyceta,o__Pleosporales,f__Pleosporaceae,g__Curvularia,s__Curvularia_pseudorobusta
LT631316.1,k__Eukaryota,p__Ascomycota,c__dothideomyceta,o__Pleosporales,f__Pleosporaceae,g__Exserohilum,s__Exserohilum_khartoumense
OM959577.1,k__Eukaryota,p__Ascomycota,c__sordariomyceta,o__Hypocreales,f__Nectriaceae,g__Fusarium,s__Fusarium_verticillioides
KX889920.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Boletales,f__Boletaceae,g__Xerocomellus,s__Xerocomellus_redeuilhii
MT973498.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Agaricales,f__Crepidotaceae,g__Crepidotus,s__Crepidotus_iqbalii
KX453799.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Boletales,f__Boletaceae,g__Pulveroboletus,s__Pulveroboletus_brunneoscabrosus
HM131313.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Pucciniales,f__Pucciniaceae,g__Puccinia,s__Puccinia_coronata
HQ643721.2,k__Eukaryota,p__Oomycota,c__Stramenopiles,o__Pythiales,f__Pythiaceae,g__Globisporangium,s__Globisporangium_ornacarpum
MN128881.1,k__Eukaryota,p__Ascomycota,c__sordariomyceta,o__Xylariales,f__Hypoxylaceae,g__Annulohypoxylon,s__Annulohypoxylon_aff._atroroseum
MN844374.1,k__Eukaryota,p__Ascomycota,c__sordariomyceta,o__Xylariales,f__Hypoxylaceae,g__Hypoxylon,s__Hypoxylon_rubiginosum
MG865523.1,k__Eukaryota,p__Oomycota,c__Stramenopiles,o__Peronosporales,f__Peronosporaceae,g__Phytophthora,s__Phytophthora_lilii
KJ174416.1,k__Eukaryota,p__Ascomycota,c__dothideomyceta,o__Pleosporales,f__Pleosporaceae,g__Bipolaris,s__Bipolaris_tetramera
MH321794.1,k__Eukaryota,p__Ascomycota,c__sordariomyceta,o__Hypocreales,f__Nectriaceae,g__Fusarium,s__Fusarium_acaciae-mearnsii
LC096170.1,k__Eukaryota,p__Ascomycota,c__dothideomyceta,o__Pleosporales,f__unidentified,g__Cryptocoryneum,s__Cryptocoryneum_pseudorilstonei
MT185530.1,k__Eukaryota,p__Ascomycota,c__sordariomyceta,o__Helotiales,f__Dermateaceae,g__Neodermea,s__Neodermea_rossica
MK211704.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Thelephorales,f__Thelephoraceae,g__Tomentella,s__Tomentella_dimidiata
MK356302.1,k__Eukaryota,p__Ascomycota,c__dothideomyceta,o__Pleosporales,f__Cucurbitariaceae,g__Parafenestella,s__Parafenestella_alpina
MN908950.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Polyporales,f__Incrustoporiaceae,g__Skeletocutis,s__Skeletocutis_bambusicola
EF655702.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Thelephorales,f__Thelephoraceae,g__Tomentella,s__Tomentella_alpina
KY174998.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Polyporales,f__Steccherinaceae,g__Geesterania,s__Geesterania_davidii
DQ873606.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Hymenochaetales,f__Schizoporaceae,g__Hyphodontia,s__Hyphodontia_aspera
KY174990.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Polyporales,f__Steccherinaceae,g__Steccherinum,s__Steccherinum_neonitidum
KJ027542.1,k__Eukaryota,p__Chytridiomycota,c__Opisthokonta,o__Rhizophydiales,f__Dinomycetaceae,g__Dinomyces,s__Dinomyces_arenysensis
EF585647.2,k__Eukaryota,p__Chytridiomycota,c__Opisthokonta,o__Rhizophydiales,f__Gorgonomycetaceae,g__Gorgonomyces,s__Gorgonomyces_haynaldii
EU365854.1,k__Eukaryota,p__Ascomycota,c__OSLEUM clade,o__Teloschistales,f__Teloschistaceae,g__Caloplaca,s__Caloplaca_subalpina
